x1,y1,z1,x2,y2,z2
-921.216,-1014.747,22.203,-921.655,-1014.295,22.752
-921.099,-1014.418,22.516,-921.629,-1014.542,22.510
-921.211,-1014.534,21.657,-921.753,-1014.826,21.865
-921.189,-1014.593,23.804,-921.605,-1014.717,21.957
-921.117,-1014.655,22.529,-921.707,-1014.583,22.619
-921.268,-1014.769,21.466,-921.601,-1014.157,22.485
-921.103,-1014.651,23.053,-921.510,-1014.277,21.560
-921.148,-1014.664,22.280,-921.649,-1014.234,22.477
-921.155,-1014.426,22.132,-921.669,-1014.750,22.107
-921.086,-1014.586,23.166,-921.768,-1014.647,22.690
-921.206,-1014.660,23.488,-921.572,-1014.258,22.018
-921.062,-1014.470,23.361,-921.666,-1014.693,22.128
-921.261,-1014.719,21.344,-921.766,-1014.250,22.959
-921.205,-1014.721,23.761,-921.635,-1014.568,22.319
-921.196,-1014.497,21.437,-921.570,-1014.438,22.216
-921.252,-1014.700,22.075,-921.732,-1014.604,22.667
-921.251,-1014.717,21.354,-921.754,-1014.632,22.666
-921.091,-1014.559,22.724,-921.736,-1014.717,22.411
-921.228,-1014.715,23.557,-921.525,-1014.233,22.461
-921.129,-1014.684,23.305,-921.741,-1014.126,22.582
-921.194,-1014.661,23.663,-921.609,-1014.708,21.921
-921.152,-1014.791,22.622,-921.875,-1014.617,22.728
-921.210,-1014.707,23.744,-921.534,-1014.215,22.423
-921.148,-1014.553,23.566,-921.747,-1014.721,22.210
-921.072,-1014.487,22.782,-921.717,-1014.531,21.350
-921.159,-1014.505,23.667,-921.583,-1014.314,22.188
-921.312,-1014.770,22.225,-921.571,-1014.617,22.001
-921.155,-1014.767,22.604,-921.583,-1014.575,22.113
-921.198,-1014.617,23.683,-921.756,-1014.255,22.972
-921.063,-1014.434,23.425,-921.589,-1014.741,21.969
-921.203,-1014.800,22.680,-921.745,-1014.720,22.420
-921.178,-1014.476,21.789,-921.731,-1014.136,22.728
-921.105,-1014.623,23.176,-921.664,-1014.778,21.897
-921.109,-1014.597,23.139,-921.655,-1014.331,22.725
-921.112,-1014.465,23.431,-921.568,-1014.213,21.519
-921.058,-1014.463,22.524,-921.778,-1014.110,22.686
-921.090,-1014.407,23.340,-921.660,-1014.602,22.562
-921.207,-1014.684,23.703,-921.514,-1014.253,21.700
-921.127,-1014.714,23.256,-921.655,-1014.692,22.122
-921.154,-1014.426,23.661,-921.767,-1014.525,21.535
-921.162,-1014.486,23.749,-921.660,-1014.193,22.641
-921.219,-1014.575,21.784,-921.384,-1014.327,21.379
-921.176,-1014.369,23.786,-921.640,-1014.601,22.234
-921.238,-1014.635,21.426,-921.601,-1014.713,21.895
-921.136,-1014.775,23.017,-921.714,-1014.272,22.781
-921.071,-1014.518,22.786,-921.747,-1014.552,21.645
-921.068,-1014.493,22.360,-921.691,-1014.809,21.952
-921.168,-1014.494,23.622,-921.632,-1014.562,22.308
-921.190,-1014.461,21.484,-921.661,-1014.344,22.967
-921.204,-1014.654,22.181,-921.699,-1014.723,22.172
-921.109,-1014.646,22.944,-921.781,-1014.525,21.543
-921.222,-1014.722,23.495,-921.576,-1014.309,21.444
-921.173,-1014.421,21.395,-921.561,-1014.343,22.291
-921.108,-1014.580,22.336,-921.583,-1014.242,22.261
-921.076,-1014.573,23.299,-921.666,-1014.762,22.060
-921.193,-1014.527,21.456,-921.655,-1014.188,22.632
-921.100,-1014.632,22.717,-921.776,-1014.663,22.191
-921.084,-1014.508,22.476,-921.729,-1014.663,22.507
-921.245,-1014.714,21.750,-921.758,-1014.412,21.636
-921.221,-1014.621,21.398,-921.689,-1014.385,23.040
-921.098,-1014.692,22.937,-921.644,-1014.327,22.703
-921.063,-1014.476,22.558,-921.586,-1014.621,22.170
-921.252,-1014.751,21.486,-921.556,-1014.358,22.060
-921.165,-1014.790,22.862,-921.620,-1014.661,22.130
-921.172,-1014.803,22.650,-921.682,-1014.240,22.749
-921.085,-1014.561,22.860,-921.828,-1014.792,22.159
-921.201,-1014.529,21.450,-921.816,-1014.535,21.414
-921.147,-1014.752,22.950,-921.670,-1014.698,22.139
-921.144,-1014.664,22.252,-921.628,-1014.516,22.602
-921.257,-1014.723,21.617,-921.538,-1014.254,21.770
-921.115,-1014.677,23.100,-921.713,-1014.778,22.033
-921.089,-1014.541,23.408,-921.626,-1014.752,21.992
-921.054,-1014.452,22.700,-921.770,-1014.719,22.434
-921.113,-1014.707,22.934,-921.794,-1014.805,21.947
-921.233,-1014.624,21.389,-921.748,-1014.676,22.171
-921.165,-1014.535,23.731,-921.775,-1014.266,22.987
-921.112,-1014.658,22.576,-921.738,-1014.713,22.470
-921.134,-1014.700,23.338,-921.505,-1014.296,21.847
-921.210,-1014.577,21.572,-921.738,-1014.616,22.689
-921.214,-1014.684,23.652,-921.625,-1014.732,21.976
-921.074,-1014.481,23.235,-921.640,-1014.648,22.433
-921.119,-1014.725,23.377,-921.770,-1014.625,22.721
-921.092,-1014.593,22.829,-921.511,-1014.313,21.634
-921.228,-1014.605,21.765,-921.356,-1014.695,22.417
-921.159,-1014.784,22.601,-921.672,-1014.379,23.034
-921.273,-1014.766,22.144,-921.737,-1014.727,22.299
-921.158,-1014.783,22.660,-921.578,-1014.318,22.464
-921.168,-1014.378,23.803,-921.682,-1014.216,22.661
-921.059,-1014.434,22.448,-921.631,-1014.549,22.521
-921.092,-1014.589,22.409,-921.557,-1014.625,22.036
-921.147,-1014.481,23.467,-921.736,-1014.656,22.322
-921.098,-1014.562,22.638,-921.596,-1014.526,22.236
-921.138,-1014.460,23.745,-921.705,-1014.758,22.139
-921.262,-1014.713,21.871,-921.733,-1014.555,22.774
-921.164,-1014.540,23.740,-921.775,-1014.665,22.601
-921.149,-1014.736,22.693,-921.759,-1014.261,22.857
-921.239,-1014.662,21.517,-921.535,-1014.241,22.434
-921.252,-1014.688,21.526,-921.681,-1014.190,22.606
-921.082,-1014.516,22.487,-921.652,-1014.333,22.950
-921.237,-1014.632,21.658,-921.775,-1014.586,21.707
-921.139,-1014.779,23.040,-921.686,-1014.697,22.165
-921.172,-1014.786,22.822,-921.740,-1014.656,22.261
-921.196,-1014.505,21.997,-921.637,-1014.700,22.140
-921.104,-1014.615,22.473,-921.706,-1014.145,22.372
-921.048,-1014.445,22.908,-921.674,-1014.631,22.248
-921.105,-1014.610,23.306,-921.709,-1014.111,22.456
-921.132,-1014.692,23.321,-921.625,-1014.738,22.066
-921.139,-1014.442,23.714,-921.728,-1014.633,22.649
-921.081,-1014.502,22.466,-921.661,-1014.292,22.740
-921.180,-1014.491,21.815,-921.520,-1014.289,21.815
-921.132,-1014.745,23.149,-921.858,-1014.502,21.400
-921.127,-1014.733,23.125,-921.676,-1014.624,22.209
-921.074,-1014.542,23.075,-921.743,-1014.132,22.500
-921.065,-1014.406,23.376,-921.660,-1014.679,22.373
-921.053,-1014.464,22.858,-921.688,-1014.490,22.829
-921.188,-1014.625,23.583,-921.726,-1014.225,22.805
-921.066,-1014.462,23.050,-921.681,-1014.717,22.157
-921.122,-1014.687,23.200,-921.655,-1014.588,22.539
-921.183,-1014.513,23.663,-921.678,-1014.773,21.889
-921.168,-1014.786,22.338,-921.588,-1014.220,22.484
-921.149,-1014.767,22.806,-921.504,-1014.318,21.652
-921.072,-1014.594,22.734,-921.764,-1014.551,21.402
-921.270,-1014.722,21.399,-921.530,-1014.301,21.911
-921.157,-1014.751,22.361,-921.514,-1014.238,21.650
-921.234,-1014.641,22.079,-921.739,-1014.146,22.747
-921.107,-1014.557,22.263,-921.638,-1014.240,22.001
-921.059,-1014.465,22.285,-921.648,-1014.298,22.654
-921.196,-1014.655,23.434,-921.645,-1014.766,22.021
-921.229,-1014.645,22.057,-921.647,-1014.577,22.518
-921.199,-1014.483,21.606,-921.799,-1014.353,21.395
-921.246,-1014.658,21.698,-921.750,-1014.644,22.679
-921.107,-1014.622,23.183,-921.562,-1014.265,22.045
-921.071,-1014.460,22.268,-921.756,-1014.077,22.458
-921.069,-1014.452,23.397,-921.594,-1014.280,22.119
-921.096,-1014.623,22.803,-921.618,-1014.629,22.393
-921.114,-1014.611,22.484,-921.476,-1014.381,22.417
-921.093,-1014.585,22.608,-921.614,-1014.597,22.162
-921.202,-1014.628,23.750,-921.419,-1014.309,21.351
-921.178,-1014.670,23.726,-921.758,-1014.678,22.226
-921.195,-1014.584,23.624,-921.576,-1014.568,21.514
-921.171,-1014.428,21.718,-921.688,-1014.249,22.767
-921.105,-1014.650,22.954,-921.601,-1014.711,21.946
-921.245,-1014.688,21.648,-921.755,-1014.419,21.664
-921.078,-1014.523,22.665,-921.607,-1014.390,22.618
-921.154,-1014.475,23.619,-921.689,-1014.381,23.045
-921.125,-1014.664,23.102,-921.734,-1014.241,22.832
-921.251,-1014.714,21.342,-921.723,-1014.755,22.142
-921.236,-1014.722,23.573,-921.573,-1014.443,22.225
-921.204,-1014.549,21.482,-921.549,-1014.343,22.270
-921.237,-1014.663,21.560,-921.566,-1014.277,22.077
-921.123,-1014.485,23.472,-921.723,-1014.498,22.864
-921.143,-1014.804,23.094,-921.588,-1014.308,22.173
-921.049,-1014.450,22.636,-921.623,-1014.667,22.142
-921.074,-1014.581,23.128,-921.638,-1014.250,22.257
-921.175,-1014.516,23.509,-921.602,-1014.252,22.553
-921.169,-1014.602,23.629,-921.734,-1014.143,22.526
-921.041,-1014.464,23.251,-921.758,-1014.660,22.583
-921.189,-1014.455,21.898,-921.594,-1014.690,21.878
-921.049,-1014.431,23.404,-921.649,-1014.699,22.146
-921.264,-1014.735,22.078,-921.532,-1014.236,22.469
-921.261,-1014.706,21.808,-921.765,-1014.459,23.014
-921.072,-1014.554,23.267,-921.721,-1014.703,22.380
-921.117,-1014.532,23.435,-921.674,-1014.589,22.608
